# x_m,y_m,w_tr_right_m,w_tr_left_m
-6.15,1.27,0.75,0.75
-6.2,0.92,0.8,0.8
-6.15,0.57,0.8078,0.8078
-5.95,0.22,0.7762,0.7762
-5.6,-0.03,0.6,0.6
-5.25,-0.03,0.6083,0.6083
-4.9,-0.03,0.6,0.6
-4.55,-0.03,0.6,0.6
-4.2,-0.03,0.6,0.6
-3.85,-0.03,0.6,0.6
-3.5,-0.03,0.559,0.559
-3.15,-0.03,0.55,0.55
-2.8,-0.03,0.55,0.55
-2.45,-0.08,0.5,0.5
-2.1,-0.03,0.5025,0.5025
-1.75,-0.03,0.5,0.5
-1.4,-0.08,0.45,0.45
-1.05,-0.08,0.45,0.45
-0.7,-0.08,0.45,0.45
-0.35,-0.08,0.4,0.4
0.0,-0.08,0.4,0.4
0.35,-0.03,0.4,0.4
0.7,-0.03,0.4,0.4
1.05,0.02,0.45,0.45
1.4,0.02,0.45,0.45
1.75,0.02,0.45,0.45
2.1,0.02,0.45,0.45
2.45,0.02,0.45,0.45
2.8,-0.03,0.5,0.5
3.15,-0.08,0.5,0.5
3.5,-0.13,0.5099,0.5099
3.85,-0.23,0.4924,0.4924
4.2,-0.23,0.5,0.5
4.55,-0.28,0.5099,0.5099
4.9,-0.33,0.55,0.55
5.25,-0.38,0.55,0.55
5.6,-0.43,0.5385,0.5385
5.95,-0.48,0.55,0.55
6.3,-0.53,0.522,0.522
6.65,-0.58,0.5523,0.5523
7.0,-0.63,0.6,0.6
7.35,-0.68,0.6,0.6
7.7,-0.78,0.55,0.55
8.05,-0.88,0.5025,0.5025
8.4,-0.98,0.45,0.45
8.75,-1.03,0.461,0.461
9.1,-1.08,0.461,0.461
9.45,-1.13,0.461,0.461
9.8,-1.23,0.5,0.5
10.15,-1.28,0.522,0.522
10.5,-1.33,0.5025,0.5025
10.85,-1.38,0.55,0.55
11.2,-1.43,0.5,0.5
11.55,-1.38,0.5385,0.5385
11.9,-1.38,0.5,0.5
12.25,-1.28,0.6,0.6
12.6,-1.18,0.6083,0.6083
12.95,-1.08,0.65,0.65
13.3,-0.88,0.7106,0.7106
13.65,-0.58,0.6727,0.6727
13.9,-0.23,0.6403,0.6403
14.1,0.12,0.6265,0.6265
14.2,0.47,0.6083,0.6083
14.2,0.82,0.55,0.55
14.2,1.17,0.55,0.55
14.15,1.52,0.6042,0.6042
14.0,1.87,0.6265,0.6265
13.85,2.22,0.6671,0.6671
13.5,2.52,0.6403,0.6403
13.15,2.67,0.6265,0.6265
12.8,2.82,0.65,0.65
12.45,2.92,0.6519,0.6519
12.1,3.02,0.7018,0.7018
11.75,3.07,0.7,0.7
11.4,3.12,0.75,0.75
11.05,3.17,0.7,0.7
10.7,3.17,0.7,0.7
10.35,3.22,0.6964,0.6964
10.0,3.32,0.6576,0.6576
9.65,3.47,0.6042,0.6042
9.3,3.67,0.559,0.559
8.95,3.87,0.559,0.559
8.6,4.12,0.5831,0.5831
8.25,4.32,0.5831,0.5831
7.9,4.52,0.559,0.559
7.55,4.67,0.5,0.5
7.2,4.77,0.4272,0.4272
6.85,4.92,0.35,0.35
6.5,4.92,0.3354,0.3354
6.15,4.97,0.35,0.35
5.8,5.02,0.364,0.364
5.45,5.02,0.35,0.35
5.1,5.07,0.3536,0.3536
4.75,5.12,0.4,0.4
4.4,5.12,0.4,0.4
4.05,5.17,0.4123,0.4123
3.7,5.17,0.4,0.4
3.35,5.22,0.45,0.45
3.0,5.22,0.45,0.45
2.65,5.27,0.5,0.5
2.3,5.27,0.5,0.5
1.95,5.32,0.5,0.5
1.6,5.32,0.5025,0.5025
1.25,5.32,0.5,0.5
0.9,5.37,0.5385,0.5385
0.55,5.42,0.55,0.55
0.2,5.42,0.55,0.55
-0.15,5.47,0.55,0.55
-0.5,5.47,0.55,0.55
-0.85,5.47,0.522,0.522
-1.2,5.47,0.5,0.5
-1.55,5.52,0.55,0.55
-1.9,5.57,0.5523,0.5523
-2.25,5.57,0.55,0.55
-2.6,5.62,0.5701,0.5701
-2.95,5.67,0.6,0.6
-3.3,5.67,0.559,0.559
-3.65,5.72,0.6,0.6
-4.0,5.82,0.5701,0.5701
-4.35,5.82,0.5523,0.5523
-4.7,5.87,0.5852,0.5852
-5.05,5.92,0.6,0.6
-5.4,5.97,0.6,0.6
-5.75,6.02,0.559,0.559
-6.1,6.02,0.55,0.55
-6.45,6.07,0.5701,0.5701
-6.8,6.12,0.559,0.559
-7.15,6.12,0.55,0.55
-7.5,6.17,0.55,0.55
-7.85,6.17,0.55,0.55
-8.2,6.22,0.55,0.55
-8.55,6.22,0.55,0.55
-8.9,6.27,0.55,0.55
-9.25,6.27,0.55,0.55
-9.6,6.27,0.55,0.55
-9.95,6.27,0.55,0.55
-10.3,6.32,0.6083,0.6083
-10.65,6.22,0.6325,0.6325
-11.0,6.12,0.6801,0.6801
-11.35,5.92,0.7211,0.7211
-11.7,5.62,0.7433,0.7433
-11.95,5.27,0.7616,0.7616
-12.15,4.92,0.7,0.7
-12.25,4.57,0.6671,0.6671
-12.35,4.22,0.6021,0.6021
-12.5,3.87,0.5025,0.5025
-12.5,3.52,0.5,0.5
-12.5,3.17,0.5,0.5
-12.4,2.82,0.5148,0.5148
-12.1,2.52,0.559,0.559
-11.75,2.37,0.559,0.559
-11.4,2.32,0.6083,0.6083
-11.05,2.47,0.6042,0.6042
-10.7,2.77,0.6021,0.6021
-10.6,3.12,0.5701,0.5701
-10.45,3.47,0.7,0.7
-10.35,3.82,0.728,0.728
-10.1,4.17,0.8382,0.8382
-9.75,4.37,0.8016,0.8016
-9.4,4.42,0.7566,0.7566
-9.05,4.42,0.7071,0.7071
-8.7,4.47,0.65,0.65
-8.35,4.47,0.65,0.65
-8.0,4.47,0.6083,0.6083
-7.65,4.42,0.55,0.55
-7.3,4.42,0.55,0.55
-6.95,4.37,0.5,0.5
-6.6,4.37,0.5099,0.5099
-6.25,4.32,0.55,0.55
-5.9,4.27,0.5025,0.5025
-5.55,4.27,0.5,0.5
-5.2,4.22,0.5,0.5
-4.85,4.17,0.4528,0.4528
-4.5,4.12,0.461,0.461
-4.15,4.07,0.461,0.461
-3.8,3.97,0.45,0.45
-3.45,3.97,0.45,0.45
-3.1,3.92,0.4528,0.4528
-2.75,3.87,0.4528,0.4528
-2.4,3.87,0.5,0.5
-2.05,3.82,0.5,0.5
-1.7,3.77,0.5385,0.5385
-1.35,3.72,0.5025,0.5025
-1.0,3.67,0.55,0.55
-0.65,3.62,0.559,0.559
-0.3,3.47,0.5408,0.5408
0.0,3.17,0.5408,0.5408
0.05,2.82,0.5,0.5
0.15,2.47,0.6185,0.6185
0.0,2.12,0.6103,0.6103
-0.35,1.82,0.5408,0.5408
-0.7,1.62,0.5701,0.5701
-1.05,1.57,0.6,0.6
-1.4,1.57,0.6,0.6
-1.75,1.62,0.6083,0.6083
-2.1,1.77,0.7018,0.7018
-2.45,1.82,0.7,0.7
-2.8,1.87,0.75,0.75
-3.15,1.92,0.8,0.8
-3.5,1.97,0.7649,0.7649
-3.85,2.07,0.7,0.7
-4.2,2.12,0.6801,0.6801
-4.55,2.17,0.65,0.65
-4.9,2.22,0.65,0.65
-5.25,2.22,0.7018,0.7018
-5.6,2.12,0.7762,0.7762
-5.95,1.87,0.8062,0.8062
-6.1,1.52,0.7433,0.7433
